theta, sigma_x, sigma_y, tau_xy
     5.00000,    12.474836,    -5.974836,     1.927406
    10.00000,    12.669381,    -6.169381,     0.296248
    15.00000,    12.577722,    -6.077722,    -1.343911
    20.00000,    12.202646,    -5.702646,    -2.943236
    25.00000,    11.555547,    -5.055547,    -4.453132
    30.00000,    10.656089,    -4.156089,    -5.827722
    35.00000,     9.531600,    -3.031600,    -7.025240
    40.00000,     8.216249,    -1.716249,    -8.009299
    45.00000,     6.750000,    -0.250000,    -8.750000
    50.00000,     5.177406,     1.322594,    -9.224836
    55.00000,     3.546248,     2.953752,    -9.419381
    60.00000,     1.906089,     4.593911,    -9.327722
    65.00000,     0.306764,     6.193236,    -8.952646
    70.00000,    -1.203132,     7.703132,    -8.305547
    75.00000,    -2.577722,     9.077722,    -7.406089
    80.00000,    -3.775240,    10.275240,    -6.281600
    85.00000,    -4.759299,    11.259299,    -4.966249
    90.00000,    -5.500000,    12.000000,    -3.500000
    95.00000,    -5.974836,    12.474836,    -1.927406
   100.00000,    -6.169381,    12.669381,    -0.296248
   105.00000,    -6.077722,    12.577722,     1.343911
   110.00000,    -5.702646,    12.202646,     2.943236
   115.00000,    -5.055547,    11.555547,     4.453132
   120.00000,    -4.156089,    10.656089,     5.827722
   125.00000,    -3.031600,     9.531600,     7.025240
   130.00000,    -1.716249,     8.216249,     8.009299
   135.00000,    -0.250000,     6.750000,     8.750000
   140.00000,     1.322594,     5.177406,     9.224836
   145.00000,     2.953752,     3.546248,     9.419381
   150.00000,     4.593911,     1.906089,     9.327722
   155.00000,     6.193236,     0.306764,     8.952646
   160.00000,     7.703132,    -1.203132,     8.305547
   165.00000,     9.077722,    -2.577722,     7.406089
   170.00000,    10.275240,    -3.775240,     6.281600
   175.00000,    11.259299,    -4.759299,     4.966249
   180.00000,    12.000000,    -5.500000,     3.500000
