theta, sigma_x, sigma_y, tau_xy
     1.50000,    12.171184,    -5.671184,     3.037264
     3.00000,    12.317916,    -5.817916,     2.566203
     4.50000,    12.439794,    -5.939794,     2.088108
     6.00000,    12.536482,    -6.036482,     1.604289
     7.50000,    12.607718,    -6.107718,     1.116074
     9.00000,    12.653304,    -6.153304,     0.624799
    10.50000,    12.673117,    -6.173117,     0.131812
    12.00000,    12.667101,    -6.167101,    -0.361537
    13.50000,    12.635274,    -6.135274,    -0.853894
    15.00000,    12.577722,    -6.077722,    -1.343911
    16.50000,    12.494604,    -5.994604,    -1.830245
    18.00000,    12.386147,    -5.886147,    -2.311561
    19.50000,    12.252649,    -5.752649,    -2.786543
    21.00000,    12.094474,    -5.594474,    -3.253886
    22.50000,    11.912058,    -5.412058,    -3.712311
    24.00000,    11.705900,    -5.205900,    -4.160560
    25.50000,    11.476564,    -4.976564,    -4.597406
    27.00000,    11.224680,    -4.724680,    -5.021650
    28.50000,    10.950939,    -4.450939,    -5.432131
    30.00000,    10.656089,    -4.156089,    -5.827722
    31.50000,    10.340940,    -3.840940,    -6.207340
    33.00000,    10.006355,    -3.506355,    -6.569945
    34.50000,     9.653251,    -3.153251,    -6.914541
    36.00000,     9.282597,    -2.782597,    -7.240185
    37.50000,     8.895407,    -2.395407,    -7.545984
    39.00000,     8.492744,    -1.992744,    -7.831101
    40.50000,     8.075711,    -1.575711,    -8.094752
    42.00000,     7.645451,    -1.145451,    -8.336217
    43.50000,     7.203143,    -0.703143,    -8.554833
    45.00000,     6.750000,    -0.250000,    -8.750000
    46.50000,     6.287264,     0.212736,    -8.921184
    48.00000,     5.816203,     0.683797,    -9.067916
    49.50000,     5.338108,     1.161892,    -9.189794
    51.00000,     4.854289,     1.645711,    -9.286482
    52.50000,     4.366074,     2.133926,    -9.357718
    54.00000,     3.874799,     2.625201,    -9.403304
    55.50000,     3.381812,     3.118188,    -9.423117
    57.00000,     2.888463,     3.611537,    -9.417101
    58.50000,     2.396106,     4.103894,    -9.385274
    60.00000,     1.906089,     4.593911,    -9.327722
    61.50000,     1.419755,     5.080245,    -9.244604
    63.00000,     0.938439,     5.561561,    -9.136147
    64.50000,     0.463457,     6.036543,    -9.002649
    66.00000,    -0.003886,     6.503886,    -8.844474
    67.50000,    -0.462311,     6.962311,    -8.662058
    69.00000,    -0.910560,     7.410560,    -8.455900
    70.50000,    -1.347406,     7.847406,    -8.226564
    72.00000,    -1.771650,     8.271650,    -7.974680
    73.50000,    -2.182131,     8.682131,    -7.700939
    75.00000,    -2.577722,     9.077722,    -7.406089
    76.50000,    -2.957340,     9.457340,    -7.090940
    78.00000,    -3.319945,     9.819945,    -6.756355
    79.50000,    -3.664541,    10.164541,    -6.403251
    81.00000,    -3.990185,    10.490185,    -6.032597
    82.50000,    -4.295984,    10.795984,    -5.645407
    84.00000,    -4.581101,    11.081101,    -5.242744
    85.50000,    -4.844752,    11.344752,    -4.825711
    87.00000,    -5.086217,    11.586217,    -4.395451
    88.50000,    -5.304833,    11.804833,    -3.953143
    90.00000,    -5.500000,    12.000000,    -3.500000
    91.50000,    -5.671184,    12.171184,    -3.037264
    93.00000,    -5.817916,    12.317916,    -2.566203
    94.50000,    -5.939794,    12.439794,    -2.088108
    96.00000,    -6.036482,    12.536482,    -1.604289
    97.50000,    -6.107718,    12.607718,    -1.116074
    99.00000,    -6.153304,    12.653304,    -0.624799
   100.50000,    -6.173117,    12.673117,    -0.131812
   102.00000,    -6.167101,    12.667101,     0.361537
   103.50000,    -6.135274,    12.635274,     0.853894
   105.00000,    -6.077722,    12.577722,     1.343911
   106.50000,    -5.994604,    12.494604,     1.830245
   108.00000,    -5.886147,    12.386147,     2.311561
   109.50000,    -5.752649,    12.252649,     2.786543
   111.00000,    -5.594474,    12.094474,     3.253886
   112.50000,    -5.412058,    11.912058,     3.712311
   114.00000,    -5.205900,    11.705900,     4.160560
   115.50000,    -4.976564,    11.476564,     4.597406
   117.00000,    -4.724680,    11.224680,     5.021650
   118.50000,    -4.450939,    10.950939,     5.432131
   120.00000,    -4.156089,    10.656089,     5.827722
   121.50000,    -3.840940,    10.340940,     6.207340
   123.00000,    -3.506355,    10.006355,     6.569945
   124.50000,    -3.153251,     9.653251,     6.914541
   126.00000,    -2.782597,     9.282597,     7.240185
   127.50000,    -2.395407,     8.895407,     7.545984
   129.00000,    -1.992744,     8.492744,     7.831101
   130.50000,    -1.575711,     8.075711,     8.094752
   132.00000,    -1.145451,     7.645451,     8.336217
   133.50000,    -0.703143,     7.203143,     8.554833
   135.00000,    -0.250000,     6.750000,     8.750000
   136.50000,     0.212736,     6.287264,     8.921184
   138.00000,     0.683797,     5.816203,     9.067916
